"FAIRHOPE 2 NE, AL",-87.8808,30.5467,7,695,771,424,1380,826,3386,2137,957,18,2586,404,1353
"GAINESVILLE LOCK, AL",-88.1342,32.8347,38.1,1603,1886,1115,3229,985,1061,901,1618,5,3306,921,1518
"GREENSBORO, AL",-87.5808,32.7017,67.1,,,514,2731,551,1389,1527,2790,0,1829,760,1659
"MUSCLE SHOALS AP, AL",-87.5997,34.7442,164.6,1233,3591,775,1634,1223,800,1583,952,29,1889,2018,1207
"SAINT BERNARD, AL",-86.8133,34.1736,243.8,1787,3146,1252,1998,907,999,819,1690,0,2299,775,2177
"SCOTTSBORO, AL",-86.0536,34.6736,187.5,2067,3127,1384,1296,1012,678,478,856,18,2498,1131,1483
"SELMA, AL",-87.0153,32.41,44.8,2163,1061,1085,1562,1018,1470,399,1135,0,993,820,1444
"TALLADEGA, AL",-86.135,33.4164,136.6,1759,2278,880,1294,952,1515,376,1517,0,1411,1648,1460
"TROY, AL",-85.9722,31.8075,165.2,1061,343,868,1626,428,1506,737,1387,173,1245,924,1365
"TUSCALOOSA ACFD, AL",-87.6161,33.2119,51.5,1371,1957,577,1547,1125,1470,625,3060,0,3470,597,1698
"VALLEY HEAD, AL",-85.6128,34.5667,323.7,1762,2719,1044,1347,1361,770,1252,705,117,1795,793,1776
"AJO, AZ",-112.86,32.3697,539.5,180,734,208,10,59,0,110,890,500,0,488,374
"CANYON DE CHELLY, AZ",-109.5394,36.1533,1709.9,,212,266,13,330,32,,125,322,109,218,186
"PARKER, AZ",-114.2897,34.1547,128,631,376,273,0,19,0,0,0,289,0,740,62
"PEARCE SUNSITES, AZ",-109.8378,31.9356,1325.9,218,255,295,16,38,38,,,,,1083,377
"PRESCOTT, AZ",-112.4322,34.5706,1586.5,423,1243,357,51,868,13,293,271,592,0,953,454
"SAFFORD AGRICULTRL CTR, AZ",-109.6808,32.815,900.4,137,204,222,56,,0,122,121,,8,676,325
"SAINT JOHNS, AZ",-109.4028,34.5172,1764.8,135,99,153,0,286,170,361,235,259,0,368,211
"SELIGMAN, AZ",-112.8797,35.3322,1600.2,543,736,205,144,370,0,158,,101,0,1141,364
"TOMBSTONE, AZ",-110.0569,31.7056,1405.1,216,248,299,39,130,53,511,425,634,0,1054,312
"WILLIAMS, AZ",-112.1903,35.2406,2057.4,941,2235,966,140,877,89,619,136,145,0,910,1169
"CONWAY, AR",-92.4289,35.0842,96,1041,2915,957,2268,2897,788,799,1423,795,1324,1503,316
"CORNING, AR",-90.5858,36.4197,91.4,1154,2592,700,1492,3055,943,,1388,274,1512,1751,563
"FAYETTEVILLE EXP STN, AR",-94.1744,36.1006,387.1,,,,660,2375,,333,1476,1392,2351,,109
"GRAVETTE, AR",-94.4481,36.4261,384,1255,615,972,1026,3886,2173,1204,2650,1397,4433,1440,505
"MAMMOTH SPRING, AR",-91.535,36.4947,153,1239,2034,851,1509,2908,1298,836,1638,117,1270,1830,419
"MENA, AR",-94.2494,34.5731,344.4,892,1281,1332,1915,2915,2199,893,391,1140,2161,1714,642
"NEWPORT, AR",-91.2744,35.6042,69.5,1144,3096,818,2072,3092,888,1271,1141,581,1413,1566,627
"OZARK 2, AR",-93.8683,35.5125,253,1095,1583,788,1513,2926,2794,765,2383,1291,1948,1709,497
"PINE BLUFF, AR",-92.0189,34.2256,65.5,1113,1773,1535,2703,2234,1392,2908,1070,152,1625,843,602
"POCAHONTAS 1, AR",-90.9681,36.2639,96,1391,2305,1122,1856,2463,1559,1319,1338,550,1278,1347,693
"PRESCOTT 2 NNW, AR",-93.3878,33.8203,93.9,1201,1238,1178,2899,2968,1198,3337,76,211,1806,840,616
"ROHWER 2 NNE, AR",-91.2703,33.81,45.7,1576,3398,1329,2993,1735,1532,1468,350,1015,2291,984,1245
"SUBIACO, AR",-93.6369,35.3028,152.4,1033,1649,674,1776,2970,2355,942,2489,379,1210,1667,517
"BERKELEY, CA",-122.2589,37.8744,94.5,1578,2516,1286,168,636,0,0,0,83,,256,1303
"BLYTHE, CA",-114.5972,33.6131,81.7,152,48,,269,0,0,0,0,,0,141,21
"CEDARVILLE, CA",-120.1736,41.5336,1423.4,648,1016,319,612,791,50,0,76,368,130,64,538
"CHULA VISTA, CA",-117.0858,32.64,17.1,526,1090,388,48,168,8,0,0,39,0,800,707
"COLFAX, CA",-120.9481,39.0911,725.4,3123,4657,2032,613,1121,13,0,0,569,0,662,2387
"CUYAMACA, CA",-116.5872,32.9897,1414.3,1459,4581,950,225,1300,0,51,0,110,0,1532,2216
"DAVIS 2 WSW EXP, CA",-121.7761,38.535,18.3,1535,2445,1440,49,742,0,0,0,18,0,133,1787
"DEATH VALLEY, CA",-116.8669,36.4622,-59.1,90,145,282,0,83,0,5,51,3,0,61,114
"EUREKA WFO WOODLEY IS, CA",-124.1603,40.8097,6.1,1695,3667,1217,637,664,0,0,46,490,384,445,1939
"FAIRMONT, CA",-118.4275,34.7042,932.7,1513,1799,812,13,208,0,0,0,0,0,559,1106
"FT BRAGG 5 N, CA",-123.7567,39.5092,37.5,1863,3792,1930,598,1667,6,13,61,197,187,,1644
"FRESNO YOSEMITE AP, CA",-119.7194,36.78,101.5,567,829,322,99,605,0,0,0,0,0,183,549
"HANFORD 1 S, CA",-119.6356,36.3219,74.7,484,584,326,78,461,0,0,0,0,0,171,501
"HEALDSBURG, CA",-122.8731,38.6175,32.9,,5974,3067,1034,1200,0,0,0,8,0,0,3060
"INDIO FIRE STN, CA",-116.2153,33.7086,-6.4,140,344,41,0,0,0,6,0,56,0,115,328
"LEMON COVE, CA",-119.0264,36.3817,156.4,519,1197,1224,174,580,0,3,0,0,0,333,620
"LIVERMORE, CA",-121.7692,37.6922,146.3,677,1602,657,77,415,0,0,0,56,0,247,739
"MERCED, CA",-120.5117,37.2858,46.6,697,861,568,5,416,0,0,0,0,0,51,821
"MT SHASTA, CA",-122.3081,41.3206,1094.2,2329,3965,1447,897,1439,81,,,482,70,441,1569
"NAPA STATE HOSPITAL, CA",-122.2647,38.2778,10.7,1895,2810,1417,122,760,0,0,0,0,0,244,1413
"NEEDLES AP, CA",-114.6189,34.7675,271.3,348,440,140,82,48,0,0,13,140,0,685,263
"NEWPORT BEACH HARBOR, CA",-117.8803,33.6025,3,893,1064,232,13,99,0,10,0,0,0,440,804
"OJAI, CA",-119.2275,34.4478,227.1,1986,2332,1172,29,409,16,0,0,0,0,503,1578
"ORLAND, CA",-122.1997,39.7458,77.4,1602,2710,1112,53,887,0,0,5,224,5,153,1254
"PASADENA, CA",-118.1447,34.1483,263.3,1719,2814,656,46,359,28,3,0,3,0,648,1282
"PASO ROBLES, CA",-120.6856,35.6278,213.4,1346,1705,764,20,209,0,0,0,0,0,355,1327
"PETALUMA AP, CA",-122.6078,38.2578,6.1,1462,2785,1385,156,714,0,0,0,13,5,214,1669
"QUINCY, CA",-120.9475,39.9367,1042.4,3185,5268,2002,618,1036,478,0,3,452,38,253,2409
"REDDING MUNI AP, CA",-122.2986,40.5175,151.5,1973,2234,2371,531,1028,0,0,257,76,24,528,1913
"REDLANDS, CA",-117.1894,34.0528,401.7,806,1439,569,18,366,3,0,0,0,0,683,704
